ticker,stockRating,valuation,financialHealth,businessModel,businessOperation,rsRating,taScore,highestPrice,lowestPrice,priceChange3m,priceChange1y,beta,alpha
ART,2.9,4.1,3.4,3.0,4.2,1.7,1.0,18100.0,1300.0,-0.639,-0.908,1.37,-0.0068
ASA,,1.6,5.0,,1.1,,,14700.0,9300.0,0.0,0.299,0.05,0.0015
ASG,2.7,2.9,4.8,3.0,1.4,3.0,1.0,31000.0,24000.0,-0.139,-0.172,0.24,-0.0003
ASM,2.9,4.0,3.0,3.0,3.5,2.8,1.0,22986.1,6590.0,-0.404,-0.439,1.44,0.0004
ASP,2.2,3.5,1.8,3.5,2.4,1.0,1.0,15971.5,4892.4,-0.204,-0.543,1.08,-0.0013
AST,2.7,2.0,4.2,3.0,1.4,3.2,2.5,68000.0,46000.0,-0.072,-0.004,0.5,0.0009
ATA,,3.0,2.8,,1.1,,,4900.0,1100.0,-0.458,-0.735,0.2,-0.004
ATB,,4.0,3.2,,1.0,,,2800.0,800.0,-0.186,-0.651,0.18,-0.003
ATG,2.8,4.0,4.0,,1.5,1.6,,8500.0,2379.0,-0.326,-0.147,0.24,0.0011
ATS,,1.6,5.0,,1.4,,,34900.0,14300.0,-0.077,-0.574,0.04,-0.003
AUM,,1.8,3.0,,1.1,,,10500.0,10500.0,0.0,0.0,0.0,0.0
AVC,3.3,3.6,4.8,3.0,3.8,3.9,1.0,41487.4,30420.0,0.072,0.181,0.24,0.0013
AVF,,3.5,2.8,,1.0,,,2600.0,500.0,-0.23,-0.704,0.37,-0.0035
B82,,3.5,2.0,,1.4,,,2413.0,500.0,-0.406,-0.703,0.45,-0.0036
BAB,2.6,2.9,4.1,3.0,2.3,2.4,1.0,21480.9,12400.0,-0.135,-0.332,0.67,-0.0006
BAF,2.7,3.3,4.0,3.0,1.8,2.9,1.0,38300.0,15850.0,-0.342,0.045,0.78,0.0006
BAL,,3.8,4.2,,1.4,,,15600.0,5200.0,-0.259,-0.455,0.18,-0.0001
BAX,3.4,3.3,4.2,3.5,4.8,3.4,1.0,88142.5,66931.7,-0.05,0.112,0.09,0.0007
BBC,2.6,3.4,4.0,3.0,1.5,2.0,1.5,109434.9,50000.0,-0.04,-0.043,0.06,0.0005
BBH,,3.5,3.4,,1.1,,,21447.2,7621.1,-0.234,0.719,0.34,0.0042
BBM,,4.3,3.6,,2.0,,,15262.5,7100.0,-0.197,-0.257,0.21,0.0006
BBS,,4.1,2.8,,1.9,,,12000.0,8417.3,-0.083,-0.039,0.07,0.0004
BBT,2.1,2.3,3.0,,2.3,,1.0,24503.0,8357.0,-0.134,-0.565,0.14,-0.002
BCA,2.1,2.8,2.4,,1.1,2.1,,12679.0,4742.0,-0.355,-0.574,0.17,-0.0031
BCB,,4.5,2.2,,2.9,,,436.0,400.0,0.0,-0.082,0.06,-0.0003
BCC,2.4,3.3,3.6,3.0,1.7,1.4,1.5,26830.2,5100.0,-0.355,-0.655,1.94,-0.001
BCE,2.5,3.8,4.0,3.5,1.4,1.2,1.0,20900.0,4830.0,-0.315,-0.65,1.27,-0.0025
BCF,3.0,2.6,5.0,3.0,2.6,3.5,1.5,40700.0,31100.5,0.005,0.097,0.07,0.0006
BCG,2.7,3.9,3.2,3.0,3.4,1.8,1.0,24173.1,4880.0,-0.513,-0.649,1.79,-0.0014
BCM,2.4,1.0,2.8,3.0,3.2,3.6,1.0,97225.8,52777.7,-0.111,0.506,1.0,0.0027
BCP,,3.9,3.0,,1.1,,,11752.0,7400.0,-0.228,-0.332,0.36,-0.0004
BCV,,2.3,2.4,,1.0,,,21500.0,21500.0,0.0,0.0,0.0,0.0
BDB,,3.8,2.6,,2.7,,,15100.0,6500.0,-0.066,-0.159,0.1,0.0001
BDG,3.0,4.0,4.2,3.5,2.1,3.0,1.0,27285.6,20639.5,-0.017,0.092,0.18,0.0009
BDT,3.1,2.6,3.4,3.0,3.6,4.8,1.0,47000.0,27697.0,-0.353,-0.269,0.02,0.0039
BDW,,3.3,4.4,,3.3,,,25300.0,13642.2,0.543,0.49,0.07,0.0021
BED,,1.9,3.6,,2.3,,,44003.6,39698.9,0.005,-0.093,-0.04,-0.0004
BEL,,2.5,3.8,,1.7,,,14015.6,11699.8,0.0,-0.046,-0.03,-0.0001
BFC,2.5,4.1,3.2,3.2,2.3,1.0,1.0,44467.9,14050.0,-0.24,-0.415,1.26,-0.0001
BGW,2.9,1.9,4.2,,3.0,2.6,,19492.0,15000.0,-0.017,-0.02,0.06,0.0001
BHA,2.8,3.0,3.2,3.0,2.7,3.8,1.0,16500.0,10242.3,0.0,0.218,0.2,0.0017
BHC,,1.8,2.6,,1.2,,,5600.0,2000.0,-0.04,-0.571,0.18,-0.002
BHG,,1.6,3.0,,1.7,,,13500.0,11900.0,0.0,0.134,0.0,0.0
BHK,,2.5,2.8,,1.5,,,14300.0,9064.0,-0.147,0.254,0.12,0.0004
BHN,2.7,1.5,5.0,3.0,1.7,2.1,3.0,61600.0,43500.0,-0.073,-0.144,0.27,-0.0001
BHP,,3.0,2.8,,1.5,,,12508.3,6181.6,0.154,0.028,0.28,0.0026
BHT,,3.6,3.2,,1.0,,,15000.0,9000.0,-0.008,0.0,-0.08,0.0003
BIC,2.8,2.6,3.6,3.0,3.3,3.2,1.0,34048.3,21850.0,-0.102,-0.066,0.8,0.0011
BID,2.6,2.1,3.6,3.0,3.1,2.9,1.0,49000.0,28500.0,0.062,0.126,1.32,0.0024
BIG,,2.5,2.0,,1.2,,,34781.0,10591.0,-0.28,-0.293,0.31,0.0
BII,2.7,4.4,3.4,3.0,2.4,2.2,1.0,15600.0,1600.0,-0.48,-0.817,1.68,-0.003
BIO,3.1,1.3,3.4,,2.7,3.6,4.5,62629.2,17200.0,0.061,-0.614,0.98,-0.0009
BKC,,4.0,3.4,,2.8,,,14600.0,5100.0,-0.126,-0.012,0.49,0.0018
BKG,2.9,3.5,4.8,3.0,1.5,1.8,,12862.4,3250.0,-0.267,-0.634,1.26,-0.0023
BKH,,1.9,2.6,,1.2,,,34996.6,20194.1,0.357,0.08,-0.07,0.0022
BLF,,3.5,2.6,,1.1,,,8000.0,3100.0,0.0,-0.396,0.1,-0.0021
