ticker,year,quarter,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
UPH,2022,3,-3,-3,0,-1,0.0
UNI,2022,3,-11,-11,0,9,
UIC,2022,3,-4,-4,-18,22,49.0
UDJ,2022,3,0,0,0,0,36.0
UDC,2022,3,0,0,-1,-4,-26.0
TYA,2022,3,0,-30,-94,108,-60.0
TXM,2022,3,0,0,-9,6,-8.0
TVW,2022,3,0,0,-13,13,2.0
TVT,2022,3,-6,-65,-28,39,96.0
TVS,2022,3,-1,-1,-484,352,-654.0
TVN,2022,3,-15,-237,-2328,1715,-2517.0
TVD,2022,3,-30,-24,23,-13,117.0
TVC,2022,3,0,90,-292,271,243.0
TVB,2022,3,0,20,-21,-21,479.0
TV4,2022,3,2,13,0,0,42.0
TV3,2022,3,0,-4,-39,35,-5.0
TV2,2022,3,-15,-91,-67,106,12.0
TV1,2022,3,-2,-2,-48,59,-11.0
TTT,2022,3,0,-13,0,-12,35.0
TTS,2022,3,0,0,-36,35,15.0
TTP,2022,3,-2,-43,-21,70,34.0
TTN,2022,3,-9,-9,-6,23,29.0
TTL,2022,3,0,44,25,-109,102.0
TTH,2022,3,0,-29,7,-6,1.0
TTF,2022,3,-23,-164,9,250,-204.0
TTE,2022,3,0,0,-8,12,14.0
TTD,2022,3,-3,-23,-16,18,99.0
TTC,2022,3,0,0,0,-4,14.0
TTB,2022,3,-38,-35,16,4,-35.0
TTA,2022,3,-13,-13,28,-11,386.0
TST,2022,3,0,0,-2,2,-4.0
TSJ,2022,3,0,-3,-26,19,19.0
TSC,2022,3,-6,-213,-67,168,-94.0
TSB,2022,3,0,0,-1,0,8.0
TS4,2022,3,0,-8,-8,17,1.0
TRC,2022,3,-6,-5,-9,26,81.0
TRA,2022,3,-25,-45,0,69,318.0
TPP,2022,3,-157,-153,168,132,-242.0
TPH,2022,3,1,5,0,3,-1.0
TPC,2022,3,0,-2,34,-39,57.0
TPB,2022,3,-78,-78,-40,257,0.0
TOS,2022,3,-93,-143,-62,240,6.0
TNW,2022,3,-136,-146,104,52,-149.0
TNT,2022,3,0,-30,0,36,-8.0
TNS,2022,3,0,0,0,22,-5.0
TNI,2022,3,0,272,91,-363,541.0
TNH,2022,3,-21,-21,-22,75,100.0
TNG,2022,3,110,-191,-213,958,405.0
TNC,2022,3,-5,2,-38,5,61.0
TNA,2022,3,-1,259,-465,179,-151.0
TN1,2022,3,-2,53,0,-50,368.0
TMX,2022,3,0,0,0,6,1.0
TMT,2022,3,-1,-10,224,-226,386.0
TMS,2022,3,-89,-325,918,-546,1298.0
TMP,2022,3,-3,-115,-113,174,597.0
TMG,2022,3,-5,-5,-50,118,90.0
TMC,2022,3,-2,-2,-20,108,-94.0
TMB,2022,3,0,0,2,-24,89.0
TLP,2022,3,-7,221,-1114,1610,-24.0
TLH,2022,3,0,133,193,-291,419.0
TLG,2022,3,-45,-233,-41,128,453.0
TLD,2022,3,0,-1,289,-290,321.0
TL4,2022,3,-1,-70,11,-9,-1.0
TKU,2022,3,-45,-44,-186,261,-174.0
TKG,2022,3,0,3,-46,66,
TKC,2022,3,0,0,0,0,21.0
TJC,2022,3,-1,32,-3,5,18.0
TIX,2022,3,-7,35,-19,28,105.0
TIS,2022,3,-5,-3,-194,1,8.0
TIP,2022,3,11,-62,946,-771,906.0
TIN,2022,3,-1,-1,0,-920,0.0
TIG,2022,3,-2,-401,0,368,116.0
TID,2022,3,49,74,-446,7,382.0
THT,2022,3,-13,-12,-23,35,-206.0
THS,2022,3,-2,-1,2,-3,7.0
THP,2022,3,43,46,-635,559,65.0
THN,2022,3,-36,-52,-29,89,6.0
THG,2022,3,0,-1,71,-38,250.0
THD,2022,3,-2,347,-2,-355,1142.0
THB,2022,3,-2,-4,-5,28,-4.0
TH1,2022,3,0,-4,12,-5,117.0
TGG,2022,3,11,30,-89,89,-61.0
TFC,2022,3,-5,-7,59,-45,64.0
TET,2022,3,0,0,0,4,12.0
TEG,2022,3,-13,18,4,-39,151.0
TED,2022,3,-3,5,-1,4,81.0
TDW,2022,3,-12,-11,-3,60,-8.0
TDT,2022,3,-2,-2,-20,71,18.0
TDS,2022,3,-8,-8,-148,174,-217.0
TDP,2022,3,-9,20,68,-327,450.0
TDN,2022,3,-19,-19,-62,81,-257.0
TDM,2022,3,-4,-16,-62,42,364.0
TDH,2022,3,-2,-352,38,297,-1032.0
TDG,2022,3,0,0,-43,41,27.0
TDF,2022,3,-30,-122,91,38,72.0
TDC,2022,3,-1,19,-275,-209,577.0
TCW,2022,3,-1,-5,-12,51,
TCT,2022,3,0,-12,0,-12,28.0
TCR,2022,3,-37,-37,-24,40,-20.0
TCO,2022,3,3,3,16,-20,-13.0
TCM,2022,3,-14,-12,-171,196,220.0
TCL,2022,3,-3,1,-126,108,67.0
TCK,2022,3,-1,-2,0,3,-3.0
TCH,2022,3,5,-39,-700,-11,192.0
TCD,2022,3,-1,-801,657,451,402.0
TCB,2022,3,-212,-205,63,15950,0.0
TBX,2022,3,0,0,0,-2,0.0
TBD,2022,3,-1,-39,-10,97,63.0
TBC,2022,3,-1,67,-142,89,331.0
TAR,2022,3,11,11,-12,1,120.0
TAG,2022,3,0,-10,0,7,14.0
TA9,2022,3,-1,-148,-20,-318,20.0
SZL,2022,3,-25,-40,-54,0,132.0
SZG,2022,3,-16,3,-55,72,121.0
SZE,2022,3,-9,3,1,23,25.0
SZC,2022,3,-139,-135,17,116,89.0
SZB,2022,3,-18,-66,-71,129,6.0
SWC,2022,3,-75,-59,-3,78,120.0
SVT,2022,3,0,7,0,-4,38.0
SVN,2022,3,0,28,0,-31,32.0
SVI,2022,3,-9,-13,-47,74,72.0
SVH,2022,3,9,26,-15,-36,50.0
SVD,2022,3,0,1,-38,19,-2.0
SVC,2022,3,-61,-71,644,-315,742.0
STW,2022,3,-6,-5,-1,25,20.0
STP,2022,3,0,-2,1,-1,3.0
STK,2022,3,-36,-32,205,-77,426.0
STH,2022,3,-5,-12,-6,18,-21.0
STG,2022,3,-57,-31,-21,67,228.0
STC,2022,3,0,0,32,-29,56.0
STB,2022,3,-316,-314,589,634,0.0
SSM,2022,3,0,0,-12,11,-6.0
SSI,2022,3,-49,482,2045,-2150,2428.0
SSH,2022,3,-15,14,-41,2,5.0
SSC,2022,3,-1,-9,-40,53,64.0
SSB,2022,3,-33,-9,0,2330,0.0
SRT,2022,3,-1,0,-37,30,-40.0
SRF,2022,3,-1,179,-35,66,-48.0
SRC,2022,3,-3,-3,-13,13,33.0
SQC,2022,3,0,6,0,-6,-20.0
SPM,2022,3,-5,-1,10,25,5.0
SPI,2022,3,0,1,14,-15,
SPD,2022,3,0,0,30,-51,6.0
SP2,2022,3,0,-1,-14,16,57.0
SNZ,2022,3,-319,-354,-276,672,483.0
SMT,2022,3,11,29,-20,-3,5.0
SMN,2022,3,1,0,-33,3,13.0
SMC,2022,3,23,441,952,-1506,1226.0
SMB,2022,3,1,-8,-76,57,216.0
SMA,2022,3,0,-2,-27,32,37.0
SLS,2022,3,0,0,-281,321,235.0
SKV,2022,3,1,2,-39,94,43.0
SKH,2022,3,-12,-11,0,6,97.0
SKG,2022,3,-21,-26,0,25,23.0
SJS,2022,3,2,-43,-3,-1,24.0
SJG,2022,3,30,1167,-765,40,2255.0
SJF,2022,3,0,10,2,-17,6.0
SJE,2022,3,3,29,-34,54,73.0
SJD,2022,3,-2,-2,-3,62,269.0
SJC,2022,3,0,0,0,0,0.0
SJ1,2022,3,0,-3,59,-39,72.0
SIP,2022,3,-257,479,-626,164,721.0
SII,2022,3,-3,3,-3,0,-58.0
SID,2022,3,-2,39,-1,14,75.0
SIC,2022,3,-162,-209,17,194,-184.0
SHS,2022,3,0,1,110,-1912,
SHP,2022,3,-1,-1,-140,60,530.0
SHN,2022,3,-1,-59,557,-649,706.0
SHI,2022,3,-130,-72,191,-230,228.0
SHE,2022,3,2,2,16,-16,22.0
SHB,2022,3,-14,-13,0,-2402,0.0
SHA,2022,3,-8,-8,10,0,36.0
SGT,2022,3,8,28,122,-216,445.0
SGS,2022,3,-3,-33,1,19,41.0
SGR,2022,3,-1,-92,3,370,136.0
SGP,2022,3,23,16,40,-99,1009.0
SGN,2022,3,-3,101,-84,43,147.0
SGI,2022,3,-13,-150,117,2,361.0
SGH,2022,3,0,-4,0,3,7.0
SGD,2022,3,1,-6,-4,17,-9.0
SGC,2022,3,-4,3,-15,16,58.0
SGB,2022,3,-11,-11,0,-336,0.0
SFN,2022,3,0,5,0,-3,16.0
SFI,2022,3,0,0,0,-8,560.0
SFG,2022,3,2,121,-130,40,30.0
SED,2022,3,13,13,-52,52,68.0
SEB,2022,3,0,-9,-53,16,190.0
SEA,2022,3,0,-15,1,-4,232.0
SDU,2022,3,0,2,-2,10,3.0
SDT,2022,3,0,0,-236,300,-289.0
SDP,2022,3,0,0,-9,9,-31.0
SDN,2022,3,0,2,3,-20,20.0
SDG,2022,3,-9,-17,28,-21,38.0
SDD,2022,3,0,0,-1,1,-7.0
SDC,2022,3,0,0,1,-1,5.0
SDA,2022,3,0,-8,0,8,18.0
SD9,2022,3,-4,-2,-114,131,-72.0
SD6,2022,3,0,0,-24,11,-23.0
SD5,2022,3,-4,-4,-67,306,
SD4,2022,3,0,0,-92,92,-104.0
SD3,2022,3,0,0,-29,31,4.0
SD2,2022,3,4,1,-12,10,-6.0
SCY,2022,3,-1,-108,0,85,-22.0
SCS,2022,3,-8,-147,0,161,646.0
SCR,2022,3,-1,36,49,-36,22.0
SCL,2022,3,1,1,26,7,13.0
SCJ,2022,3,72,72,-51,-23,166.0
SCI,2022,3,-3,7,-135,121,-69.0
SCG,2022,3,1,24,709,-763,800.0
