ticker,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth
DCG,Clothing & Accessories,,,,,,,1.8,3,2,2,1,5,1,1,1,1,1,
DCH,Real Estate Services,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
DCL,Pharmaceuticals,,,,,,,1.9,2,2,1,1,1,2,1,3,3,3,
DCM,Specialty Chemicals,,,,,,,4.0,5,5,5,3,4,3,2,4,4,5,
DCR,Building Materials & Fixtures,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
DCS,Furnishings,,,,,,,1.2,1,2,1,1,1,1,1,2,1,1,
DCT,Building Materials & Fixtures,,,,,,,1.5,1,2,1,1,1,3,1,2,2,1,
DDG,Gas Distribution,,,,,,,2.9,2,2,5,5,5,1,1,2,3,2,
DDH,Transportation Services,,,,,,,2.1,5,5,1,3,1,1,1,1,1,1,
DDM,Marine Transportation,,,,,,,2.0,1,2,1,2,1,1,1,4,4,4,
DDN,Pharmaceuticals,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
DDV,Specialty Chemicals,,,,,,,2.3,3,4,1,4,1,1,1,2,2,3,
DFC,Steel,,,,,,,1.3,2,2,1,1,1,1,1,1,1,2,
DFF,Heavy Construction,,,,,,,1.2,1,2,1,1,1,1,1,1,2,1,
DGC,Specialty Chemicals,,,,,,,5.0,5,5,5,5,5,5,5,5,5,5,
DGT,Heavy Construction,,,,,,,3.8,5,3,5,5,5,5,1,3,3,2,
DGW,Specialty Retailers,,,,,,,3.5,5,4,5,5,5,5,1,1,1,2,
DHA,Building Materials & Fixtures,,,,,,,3.7,5,5,3,3,3,5,2,3,4,4,
DHB,Specialty Chemicals,,,,,,,2.8,1,1,1,4,1,5,1,5,5,5,
DHC,Paper,,,,,,,4.2,5,5,5,5,5,5,5,2,2,2,
DHD,Pharmaceuticals,,,,,,,1.5,2,2,1,1,1,2,1,2,1,2,
DHG,Pharmaceuticals,,,,,,,3.4,5,5,2,2,2,2,2,5,4,5,
DHM,General Mining,,,,,,,2.6,3,3,5,2,3,5,1,1,1,1,
DHN,Pharmaceuticals,,,,,,,2.4,3,4,2,2,3,2,5,1,1,1,
DHP,Electronic Equipment,,,,,,,2.2,2,3,1,2,1,2,5,2,2,2,
DHT,Drug Retailers,,,,,,,2.0,3,3,2,2,1,2,3,1,1,2,
DIC,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
DID,Heavy Construction,,,,,,,1.4,1,2,1,2,1,3,1,1,1,1,
DIG,Real Estate Holding & Development,,,,,,,4.4,4,3,5,4,5,5,5,4,4,5,
DIH,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
DKC,Broadline Retailers,,,,,,,1.3,2,3,1,1,1,1,1,1,1,1,
DL1,Transportation Services,,,,,,,3.1,1,2,5,1,1,5,5,4,5,3,
DLD,Hotels,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
DLG,Forestry,,,,,,,1.3,1,1,1,1,1,2,1,3,1,1,
DLR,Real Estate Holding & Development,,,,,,,1.5,1,1,1,1,1,1,1,5,3,1,
DLT,Travel & Tourism,,,,,,,1.4,3,2,1,1,1,1,1,2,1,1,
DM7,Clothing & Accessories,,,,,,,1.5,2,2,1,1,1,1,1,2,2,2,
DMC,Pharmaceuticals,,,,,,,2.2,3,4,1,2,1,1,1,3,3,3,
DMN,Farming & Fishing,,,,,,,1.2,1,2,1,1,1,1,1,1,1,2,
DNA,Water,,,,,,,2.4,3,3,2,2,1,2,5,2,2,2,
DNC,Conventional Electricity,,,,,,,3.9,5,5,5,5,5,4,4,1,2,2,
DND,Building Materials & Fixtures,,,,,,,2.2,2,3,3,1,4,3,1,2,1,2,
DNE,Waste & Disposal Services,,,,,,,2.4,4,3,2,2,2,2,5,1,1,2,
DNH,Conventional Electricity,,,,,,,4.2,4,4,5,3,4,4,3,5,5,5,
DNL,Transportation Services,,,,,,,3.6,4,4,3,5,4,4,5,5,1,1,
DNM,Medical Supplies,,,,,,,3.3,5,3,3,4,5,5,5,1,1,1,
DNN,Water,,,,,,,3.2,4,3,3,2,2,2,1,5,5,5,
DNP,Building Materials & Fixtures,,,,,,,2.5,1,2,1,5,2,5,4,2,2,1,
DNT,Recreational Services,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
DNW,Water,,,,,,,3.9,4,3,5,2,3,4,5,4,4,5,
DOC,Specialty Chemicals,,,,,,,2.6,2,3,5,2,5,5,1,1,1,1,
DOP,Trucking,,,,,,,1.7,3,3,1,2,1,2,1,1,1,1,
DP1,Pharmaceuticals,,,,,,,1.9,4,2,2,1,2,2,1,2,1,2,
DP2,Pharmaceuticals,,,,,,,1.2,1,1,1,3,1,1,1,1,1,1,
DP3,Pharmaceuticals,,,,,,,4.7,5,5,5,3,5,5,5,5,4,5,
DPC,Containers & Packaging,,,,,,,2.4,3,3,3,1,4,2,1,5,1,1,
DPD,Commodity Chemicals,,,,,,,1.9,2,3,1,1,1,1,1,3,3,3,
DPG,Heavy Construction,,,,,,,3.7,5,3,5,2,5,5,1,4,4,3,
DPH,Pharmaceuticals,,,,,,,2.1,3,3,2,1,2,4,1,2,1,2,
DPM,Specialty Chemicals,,,,,,,4.4,5,5,5,3,5,5,1,5,5,5,
DPP,Pharmaceuticals,,,,,,,2.4,3,3,3,4,3,1,3,1,1,1,
DPR,Commodity Chemicals,,,,,,,4.2,4,4,5,2,4,5,5,4,4,5,
DPS,Steel,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
DQC,Furnishings,,,,,,,1.5,1,2,1,1,1,1,1,4,1,2,
DRC,Tires,,,,,,,2.1,4,4,1,2,1,1,1,2,2,2,
DRG,Commodity Chemicals,,,,,,,1.5,1,2,1,1,1,1,1,2,3,2,
DRH,Real Estate Holding & Development,,,,,,,2.1,1,2,1,1,1,1,1,5,4,5,
DRI,Commodity Chemicals,,,,,,,3.3,3,3,5,2,2,2,5,4,4,3,
DRL,Conventional Electricity,,,,,,,3.7,5,5,3,2,3,2,2,5,5,5,
DS3,Transportation Services,,,,,,,1.9,2,2,2,2,1,1,1,5,2,1,
DSC,Investment Services,,,,,,,2.6,1,2,1,5,1,1,1,5,5,4,
DSD,Recreational Services,,,,,,,2.1,1,1,1,1,1,1,1,5,5,5,
DSG,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
DSN,Recreational Services,,,,,,,2.7,3,4,1,1,1,1,1,5,5,5,
DSP,Travel & Tourism,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
DST,Publishing,,,,,,,2.5,2,3,5,1,1,5,1,1,1,5,
DSV,Railroads,,,,,,,2.7,5,2,5,3,4,3,1,1,1,1,
DTA,Real Estate Holding & Development,,,,,,,3.0,1,2,5,5,5,5,1,2,2,2,
DTB,Waste & Disposal Services,,,,,,,2.0,3,3,3,2,3,1,1,1,1,1,
DTC,Building Materials & Fixtures,,,,,,,1.6,2,2,1,2,1,2,1,2,2,1,
DTD,Heavy Construction,,,,,,,4.0,4,3,5,4,5,5,1,4,5,4,
DTE,Conventional Electricity,,,,,,,2.1,1,2,1,1,1,1,1,5,5,4,
DTG,Pharmaceuticals,,,,,,,1.6,1,2,1,1,1,1,5,2,1,1,
DTH,Medical Equipment,,,,,,,1.5,1,2,1,1,1,1,5,1,1,1,
DTI,Hotels,,,,,,,2.6,1,2,3,5,3,2,5,1,2,2,
DTK,Conventional Electricity,,,,,,,2.6,3,2,4,2,5,2,2,2,2,2,
DTL,Steel,,,,,,,1.3,1,2,1,1,1,1,1,2,2,1,
DTN,Personal Products,,,,,,,1.3,1,2,2,2,1,1,1,1,1,1,
DTP,Pharmaceuticals,,,,,,,2.7,5,5,1,1,1,1,1,5,3,4,
DTT,Commodity Chemicals,,,,,,,1.5,1,2,1,2,1,1,1,2,2,2,
DTV,Conventional Electricity,,,,,,,3.0,5,5,4,2,4,3,3,1,1,1,
DUS,Waste & Disposal Services,,,,,,,2.3,4,4,1,2,1,1,1,3,3,3,
DVC,Transportation Services,,,,,,,2.0,1,2,1,1,4,5,4,1,1,1,
DVG,Building Materials & Fixtures,,,,,,,1.2,1,2,1,1,1,1,1,1,1,2,
DVM,Pharmaceuticals,,,,,,,1.8,4,3,1,1,1,1,1,2,2,2,
DVN,Pharmaceuticals,,,,,,,1.5,2,2,1,1,1,4,1,1,1,1,
DVP,Transportation Services,,,,,,,3.1,5,5,1,1,1,2,1,5,5,5,
DVW,Heavy Construction,,,,,,,1.7,4,3,1,1,1,1,2,1,1,1,
DWC,Water,,,,,,,1.4,1,2,1,1,1,1,1,4,1,1,
DWS,Water,,,,,,,1.6,2,2,1,1,1,1,1,3,2,2,
DXG,Real Estate Holding & Development,,,,,,,3.6,2,2,4,5,5,5,2,5,3,3,
DXL,Hotels,,,,,,,1.7,1,2,1,1,1,1,1,3,1,5,
DXP,Transportation Services,,,,,,,3.0,3,4,2,1,1,3,2,5,4,5,
DXS,Real Estate Services,,,,,,,2.2,3,3,1,1,1,1,1,5,4,2,
DXV,Building Materials & Fixtures,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
DZM,Industrial Machinery,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
E12,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
E29,Heavy Construction,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
EBS,Publishing,,,,,,,1.8,2,3,1,1,1,2,1,3,2,2,
ECI,Publishing,,,,,,,2.9,3,4,3,2,2,3,5,3,2,2,
EFI,Real Estate Holding & Development,,,,,,,1.4,1,1,1,1,1,1,1,1,1,5,
EIB,Banks,2,2,1,3,3,5,2.6,2,2,5,,,,,,,,1
EIC,Heavy Construction,,,,,,,3.7,5,5,5,5,1,1,5,3,1,5,
EID,Publishing,,,,,,,2.5,4,4,2,2,2,2,1,3,2,2,
EIN,Hotels,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
ELC,Telecommunications Equipment,,,,,,,1.8,2,2,1,1,1,1,3,3,2,2,
EMC,Electronic Equipment,,,,,,,2.0,1,2,4,4,2,2,1,1,1,1,
EME,Electronic Equipment,,,,,,,2.2,1,2,5,1,2,3,5,1,1,1,
EMG,Electronic Equipment,,,,,,,2.2,4,4,1,1,5,3,1,1,1,1,
EMS,Delivery Services,,,,,,,3.6,5,3,4,5,4,4,5,2,1,2,
EPC,Soft Drinks,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
EPH,Publishing,,,,,,,2.4,4,3,3,2,3,1,1,4,1,1,
EVE,Clothing & Accessories,,,,,,,2.0,2,2,1,2,1,1,1,4,3,3,
EVF,Consumer Finance,3,3,5,2,5,3,3.3,2,3,3,,,,,,,,4
EVG,Heavy Construction,,,,,,,2.9,1,2,3,5,5,5,5,1,1,1,
EVS,Investment Services,,,,,,,3.0,5,5,1,5,1,1,1,3,4,3,
FBA,Furnishings,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
FBC,Industrial Machinery,,,,,,,2.8,5,4,4,3,3,4,1,1,1,1,
FCC,Brewers,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
FCM,Building Materials & Fixtures,,,,,,,1.3,1,2,1,1,1,1,1,1,2,2,
FCN,Heavy Construction,,,,,,,1.7,1,2,1,3,2,2,1,2,2,1,
FCS,Food Products,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
FDC,Real Estate Holding & Development,,,,,,,1.2,1,2,1,1,1,1,1,2,1,1,
FGL,Soft Drinks,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
FHN,Food Retailers & Wholesalers,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
FHS,Publishing,,,,,,,1.9,1,2,1,2,1,2,5,3,1,1,
FIC,Building Materials & Fixtures,,,,,,,1.4,2,2,1,1,1,1,1,2,1,2,
FID,Real Estate Services,,,,,,,1.5,1,1,1,2,1,5,1,1,1,1,
FIR,Real Estate Holding & Development,,,,,,,2.5,3,3,1,1,1,1,1,5,5,5,
FIT,Specialty Finance,,,,,,,1.9,1,2,2,1,1,5,1,3,1,2,
FLC,Real Estate Holding & Development,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
FMC,Farming & Fishing,,,,,,,3.3,4,4,5,3,4,4,2,2,2,2,
FOC,Media Agencies,,,,,,,3.3,5,5,2,2,2,1,1,5,5,5,
FOX,Fixed Line Telecommunications,,,,,,,3.7,5,3,4,3,3,3,5,5,3,3,
FPT,Software,,,,,,,3.5,5,3,4,1,3,4,5,4,3,3,
FRC,Forestry,,,,,,,3.3,5,4,5,4,5,5,1,1,1,1,
FRM,Forestry,,,,,,,1.5,1,2,1,1,1,5,1,1,1,1,
FRT,Specialty Retailers,,,,,,,3.4,5,2,4,4,4,5,5,2,1,2,
FSO,Commercial Vehicles & Trucks,,,,,,,1.1,1,1,1,1,1,1,1,1,1,2,
FT1,Industrial Machinery,,,,,,,2.3,5,5,1,1,1,1,5,1,1,1,
FTI,Auto Parts,,,,,,,2.8,3,3,5,2,1,1,5,5,1,1,
FTM,Clothing & Accessories,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
FTS,Investment Services,,,,,,,4.5,5,4,5,5,5,5,1,5,5,5,
FUCTVGF4,,,,,,,,,,,,,,,,,,,
FUEDCMID,,,,,,,,,,,,,,,,,,,
FUEKIV30,,,,,,,,,,,,,,,,,,,
FUESSV30,,,,,,,,,,,,,,,,,,,
FUESSVFL,,,,,,,,,,,,,,,,,,,
FUEVN100,,,,,,,,,,,,,,,,,,,
G20,Clothing & Accessories,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
G36,Heavy Construction,,,,,,,1.5,1,2,1,1,1,2,1,2,2,2,
GAB,Building Materials & Fixtures,,,,,,,1.6,1,2,5,1,1,1,1,1,1,1,
GAS,Gas Distribution,,,,,,,2.6,4,4,2,2,2,2,1,3,3,3,
GCB,Gas Distribution,,,,,,,1.3,1,2,1,1,1,3,1,1,1,1,
GDT,Furnishings,,,,,,,2.8,5,5,1,2,1,1,1,4,3,4,
GDW,Water,,,,,,,2.4,3,3,2,2,3,2,1,4,2,2,
GE2,Conventional Electricity,,,,,,,1.9,2,2,1,1,1,1,1,3,3,4,
GEE,Electronic Equipment,,,,,,,1.6,3,2,1,1,1,1,1,2,2,2,
GEG,Conventional Electricity,,,,,,,3.9,2,2,5,5,5,5,1,5,5,4,
GER,Commodity Chemicals,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
GEX,Electronic Equipment,,,,,,,2.9,2,2,4,5,5,5,1,2,2,1,
GGG,Automobiles,,,,,,,1.1,1,1,1,2,1,1,1,1,1,1,
GH3,Heavy Construction,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
GHC,Conventional Electricity,,,,,,,3.8,3,3,2,5,4,5,2,5,5,5,
GIC,Transportation Services,,,,,,,2.0,3,4,1,1,1,1,1,4,2,2,
GIL,Clothing & Accessories,,,,,,,4.2,5,4,5,5,5,5,5,2,2,3,
GKM,Building Materials & Fixtures,,,,,,,3.3,3,3,5,3,5,5,1,3,3,2,
GLC,Gold Mining,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
GLT,Consumer Electronics,,,,,,,1.7,3,3,1,1,1,1,1,2,1,3,
GLW,Water,,,,,,,2.0,1,2,3,2,1,3,1,3,1,3,
GMA,Industrial Machinery,,,,,,,1.3,2,2,1,1,1,1,1,1,1,2,
GMC,Clothing & Accessories,,,,,,,1.4,2,2,1,1,1,1,1,2,1,2,
GMD,Transportation Services,,,,,,,2.5,2,3,2,1,2,2,1,4,4,5,
GMH,Building Materials & Fixtures,,,,,,,2.2,3,4,1,1,1,1,1,3,3,4,
GMX,Building Materials & Fixtures,,,,,,,3.0,5,5,2,2,2,2,1,4,3,4,
GND,Building Materials & Fixtures,,,,,,,1.8,4,4,2,1,1,1,1,1,1,1,
GSM,Conventional Electricity,,,,,,,3.2,3,3,4,2,2,1,2,5,5,5,
GSP,Marine Transportation,,,,,,,2.1,3,3,2,2,2,4,1,1,1,2,
GTA,Forestry,,,,,,,1.5,2,2,2,2,1,1,1,1,1,2,
GTD,Footwear,,,,,,,1.1,1,1,1,1,1,2,1,1,1,1,
GTH,Heavy Construction,,,,,,,1.2,1,2,2,1,1,1,1,1,1,1,
GTS,Heavy Construction,,,,,,,1.4,2,2,1,2,1,1,1,1,1,2,
GTT,Recreational Services,,,,,,,1.3,1,1,1,1,1,1,1,4,1,1,
GVR,Commodity Chemicals,,,,,,,3.2,2,3,3,3,5,5,1,3,3,4,
GVT,Paper,,,,,,,3.4,5,5,5,4,5,5,1,1,1,1,
H11,Heavy Construction,,,,,,,1.3,1,2,1,3,1,1,1,1,1,1,
HAC,Investment Services,,,,,,,3.0,3,3,4,5,5,5,1,1,1,1,
HAD,Brewers,,,,,,,1.8,1,2,1,1,1,1,5,3,2,2,
HAF,Food Products,,,,,,,1.2,1,1,1,1,1,1,1,3,1,1,
HAG,Farming & Fishing,,,,,,,2.5,1,2,1,1,5,2,1,3,5,5,
HAH,Transportation Services,,,,,,,4.6,5,5,5,5,5,5,1,5,5,5,
HAI,Specialty Chemicals,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HAM,Building Materials & Fixtures,,,,,,,3.1,5,2,5,3,5,5,2,1,1,1,
HAN,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
HAP,Paper,,,,,,,2.5,2,3,5,2,2,2,1,3,2,2,
HAR,Real Estate Holding & Development,,,,,,,2.8,1,2,3,1,3,5,1,4,4,5,
HAS,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
HAT,Brewers,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
HAV,Distillers & Vintners,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HAX,Automobiles,,,,,,,3.2,5,4,4,3,5,5,1,1,1,2,
HBC,Heavy Construction,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
HBD,Containers & Packaging,,,,,,,2.2,3,4,2,1,2,4,2,1,1,2,
HBH,Brewers,,,,,,,2.0,2,3,1,2,5,2,1,1,1,2,
HBS,Investment Services,,,,,,,3.3,1,2,5,3,4,2,5,5,1,5,
HC1,Heavy Construction,,,,,,,1.4,2,2,2,1,1,1,1,1,1,2,
HC3,Heavy Construction,,,,,,,3.2,4,4,4,1,1,4,1,4,4,5,
HCB,Clothing & Accessories,,,,,,,1.4,2,2,1,2,1,2,1,1,1,1,
HCC,Building Materials & Fixtures,,,,,,,1.3,1,2,1,1,1,1,1,1,2,2,
HCD,Commodity Chemicals,,,,,,,2.5,3,3,4,2,3,4,1,1,2,2,
HCI,Heavy Construction,,,,,,,1.5,3,3,1,1,1,1,1,1,1,1,
HCM,Investment Services,,,,,,,4.1,3,3,5,5,5,5,1,4,5,5,
HCT,Trucking,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
HD2,Real Estate Holding & Development,,,,,,,1.3,1,2,1,1,1,1,3,1,1,1,
HD6,Real Estate Holding & Development,,,,,,,3.4,2,2,5,2,5,5,1,4,5,4,
HD8,Real Estate Holding & Development,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
HDA,Building Materials & Fixtures,,,,,,,2.7,3,3,2,2,3,4,1,5,2,2,
HDB,Banks,4,3,5,4,4,4,4.3,5,4,5,,,,,,,,5
HDC,Real Estate Holding & Development,,,,,,,4.7,5,3,5,5,5,5,5,4,5,5,
HDG,Real Estate Holding & Development,,,,,,,4.2,5,3,5,3,5,5,1,5,5,5,
HDM,Clothing & Accessories,,,,,,,3.3,5,3,5,2,4,3,4,2,2,2,
HDO,Containers & Packaging,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HDP,Pharmaceuticals,,,,,,,1.5,2,2,2,1,2,2,1,1,1,1,
HDW,Water,,,,,,,3.0,3,3,5,2,4,5,1,3,2,2,
HEC,Business Support Services,,,,,,,3.1,4,3,5,3,5,5,2,1,1,1,
HEJ,Heavy Construction,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
HEM,Electronic Equipment,,,,,,,1.3,1,2,1,1,1,1,1,2,1,2,
HEP,Waste & Disposal Services,,,,,,,2.1,1,2,5,3,3,2,1,1,1,1,
HES,Recreational Services,,,,,,,1.5,1,1,1,1,1,1,1,4,2,2,
HEV,Publishing,,,,,,,2.3,3,3,2,3,2,2,1,3,1,2,
HFB,Heavy Construction,,,,,,,1.9,3,2,3,2,2,2,1,1,1,1,
HFC,Gas Distribution,,,,,,,1.3,2,2,1,2,1,1,1,1,1,1,
HFX,Broadline Retailers,,,,,,,1.4,1,1,1,1,1,5,1,1,1,1,
HGM,General Mining,,,,,,,4.5,5,5,5,3,5,5,2,5,5,5,
HGT,Travel & Tourism,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
HGW,Water,,,,,,,1.7,1,2,1,2,1,2,1,3,2,2,
HHC,Food Products,,,,,,,1.8,3,2,2,2,1,3,1,2,1,1,
HHG,Travel & Tourism,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HHN,Transportation Services,,,,,,,2.5,2,2,5,1,5,3,4,1,1,1,
HHP,Paper,,,,,,,3.3,3,3,5,5,5,5,1,1,2,2,
HHR,Railroads,,,,,,,3.2,5,2,5,3,5,5,2,2,1,1,
HHS,Automobiles,,,,,,,2.5,2,3,3,1,1,5,1,2,2,5,
HHV,Heavy Construction,,,,,,,3.7,1,2,5,5,5,5,1,5,5,3,
HID,Heavy Construction,,,,,,,2.7,1,2,5,2,1,5,5,2,2,2,
HIG,Software,,,,,,,1.3,1,1,1,2,1,1,1,2,1,2,
HII,Commodity Chemicals,,,,,,,3.3,3,2,5,5,5,5,5,1,1,1,
HIZ,Real Estate Holding & Development,,,,,,,2.7,4,2,5,5,5,1,1,1,1,1,
HJC,Tobacco,,,,,,,2.0,2,3,5,1,1,2,1,2,1,1,
HJS,Conventional Electricity,,,,,,,3.4,4,4,3,2,2,2,2,5,5,5,
HKB,Food Products,,,,,,,1.4,1,1,1,1,1,1,1,5,1,1,
HKP,Containers & Packaging,,,,,,,2.2,3,3,3,1,2,2,5,1,1,1,
HKT,Soft Drinks,,,,,,,1.2,1,2,1,1,1,1,1,1,1,2,
HLA,Steel,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HLB,Brewers,,,,,,,3.5,5,5,5,5,5,5,1,1,1,1,
HLC,Coal,,,,,,,2.4,5,2,2,2,2,4,1,2,2,2,
HLD,Real Estate Holding & Development,,,,,,,2.0,2,2,1,1,1,1,1,5,3,4,
HLG,Farming & Fishing,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
HLR,Railroads,,,,,,,2.3,3,2,2,2,4,4,1,2,1,2,
HLS,Electrical Components & Equipment,,,,,,,2.5,5,5,3,2,2,2,2,1,1,1,
HLT,Clothing & Accessories,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
HLY,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HMC,Steel,,,,,,,3.4,5,4,4,3,4,5,5,1,1,1,
HMG,Steel,,,,,,,2.0,1,2,1,2,5,5,1,1,1,1,
HMH,Trucking,,,,,,,1.8,2,3,1,1,1,2,1,2,2,3,
HMR,Building Materials & Fixtures,,,,,,,1.7,3,3,1,1,1,1,1,2,2,2,
HMS,Heavy Construction,,,,,,,1.5,2,2,1,1,1,1,4,1,1,1,
HNA,Conventional Electricity,,,,,,,2.4,1,2,1,2,2,1,1,5,5,5,
HNB,Transportation Services,,,,,,,1.8,2,2,1,1,1,1,4,2,2,2,
HND,Conventional Electricity,,,,,,,1.5,2,2,2,1,1,1,1,1,2,2,
HNF,Food Products,,,,,,,2.7,2,2,3,2,4,2,5,3,2,2,
HNG,Farming & Fishing,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HNI,Clothing & Accessories,,,,,,,2.2,5,4,1,1,1,1,3,2,1,2,
HNM,Food Products,,,,,,,3.0,2,2,5,2,5,2,4,3,3,2,
HNP,Commodity Chemicals,,,,,,,1.3,2,2,1,1,1,1,2,1,1,1,
HNR,Distillers & Vintners,,,,,,,1.2,1,1,1,1,1,1,1,3,1,1,
HOM,Building Materials & Fixtures,,,,,,,1.3,1,2,1,2,1,1,1,2,1,1,
HOT,Travel & Tourism,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HPB,Containers & Packaging,,,,,,,1.7,2,3,2,1,1,1,1,2,2,2,
HPD,Conventional Electricity,,,,,,,3.7,4,3,5,2,3,2,3,5,5,5,
HPG,Steel,,,,,,,4.4,5,5,5,5,5,5,5,2,3,3,
HPH,Specialty Chemicals,,,,,,,1.1,1,1,1,2,1,1,1,1,1,1,
HPI,Real Estate Holding & Development,,,,,,,2.3,5,2,1,1,1,2,1,4,1,5,
HPM,General Mining,,,,,,,2.0,1,1,1,1,1,1,1,4,5,5,
HPP,Building Materials & Fixtures,,,,,,,2.3,5,3,1,4,1,2,3,1,1,1,
HPT,Software,,,,,,,1.9,4,2,3,2,2,1,1,1,1,1,
HPW,Water,,,,,,,2.4,2,2,2,2,2,3,1,5,3,2,
HPX,Real Estate Holding & Development,,,,,,,2.4,2,2,2,1,1,4,1,4,4,4,
HQC,Real Estate Holding & Development,,,,,,,1.5,1,2,1,1,1,1,1,3,2,2,
HRB,Real Estate Holding & Development,,,,,,,2.0,4,4,2,1,1,2,2,1,1,1,
HRC,Commodity Chemicals,,,,,,,2.8,1,2,4,4,5,5,1,2,1,3,
HRT,Travel & Tourism,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
HSA,Business Support Services,,,,,,,1.7,1,1,1,1,1,1,1,5,1,5,
HSG,Steel,,,,,,,3.5,5,5,5,5,4,4,3,1,1,1,
HSI,Specialty Chemicals,,,,,,,1.4,1,1,1,1,1,1,5,1,1,1,
HSL,Food Products,,,,,,,1.7,2,3,1,3,1,1,1,1,1,2,
HSM,Clothing & Accessories,,,,,,,1.7,2,2,2,1,2,1,1,2,2,2,
HSP,Building Materials & Fixtures,,,,,,,1.5,2,3,1,1,1,1,1,2,1,2,
HSV,Steel,,,,,,,1.3,2,3,1,1,1,1,1,1,1,1,
HT1,Building Materials & Fixtures,,,,,,,1.5,2,2,1,1,1,1,1,2,2,2,
HTC,Gas Distribution,,,,,,,1.5,3,3,1,1,1,1,1,1,1,1,
HTE,Conventional Electricity,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HTG,Clothing & Accessories,,,,,,,3.3,5,3,5,2,3,3,5,2,2,2,
HTI,Heavy Construction,,,,,,,2.3,2,2,1,1,2,2,1,5,5,3,
HTL,Automobiles,,,,,,,1.5,3,3,1,1,1,1,1,1,1,2,
HTM,Broadline Retailers,,,,,,,1.2,1,1,1,1,1,1,1,3,1,1,
HTN,Real Estate Holding & Development,,,,,,,1.8,5,2,1,1,1,1,1,1,2,2,
HTP,Publishing,,,,,,,3.5,1,2,5,4,1,5,5,5,5,2,
HTR,Railroads,,,,,,,2.0,4,2,2,2,2,2,1,2,1,1,
HTT,Broadline Retailers,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HTV,Marine Transportation,,,,,,,1.5,2,2,1,2,1,2,1,1,1,2,
HTW,Water,,,,,,,2.5,1,2,1,3,5,5,1,4,2,2,
HU1,Heavy Construction,,,,,,,1.5,1,2,1,4,1,2,1,1,1,1,
HU3,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
