ticker,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth
BAL,Containers & Packaging,,,,,,,1.4,1,2,1,1,1,1,1,2,2,2,
BAX,Heavy Construction,,,,,,,4.8,5,3,5,5,5,5,5,5,5,5,
BBC,Food Products,,,,,,,1.5,1,2,1,1,1,1,1,3,1,3,
BBH,Containers & Packaging,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
BBM,Brewers,,,,,,,2.0,2,3,2,1,2,2,1,3,2,2,
BBS,Containers & Packaging,,,,,,,1.9,2,2,2,2,2,4,1,1,1,2,
BBT,Personal Products,,,,,,,2.3,4,4,1,2,1,1,5,3,1,1,
BCA,Steel,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
BCB,Coal,,,,,,,2.9,5,3,4,4,4,1,1,3,2,1,
BCC,Building Materials & Fixtures,,,,,,,1.7,1,2,1,2,1,1,3,2,2,2,
BCE,Heavy Construction,,,,,,,1.4,2,2,2,1,1,2,1,1,1,1,
BCF,Food Products,,,,,,,2.6,4,4,2,2,1,2,1,3,3,4,
BCG,Specialty Finance,,,,,,,3.4,3,2,5,2,5,5,1,4,3,4,
BCM,Real Estate Holding & Development,,,,,,,3.2,2,2,3,1,5,4,1,5,5,5,
BCP,Pharmaceuticals,,,,,,,1.1,1,1,1,2,1,1,1,1,1,1,
BCV,Hotels,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
BDB,Publishing,,,,,,,2.7,3,3,2,2,5,5,2,2,1,2,
BDG,Clothing & Accessories,,,,,,,2.1,5,3,1,1,2,2,1,2,2,2,
BDT,Building Materials & Fixtures,,,,,,,3.6,3,3,4,2,5,5,4,4,3,4,
BDW,Water,,,,,,,3.3,4,3,4,2,4,2,1,5,4,4,
BED,Publishing,,,,,,,2.3,3,4,1,2,1,1,4,3,2,2,
BEL,Consumer Electronics,,,,,,,1.7,2,3,1,2,1,1,1,4,1,1,
BFC,Specialty Chemicals,,,,,,,2.3,4,3,1,2,1,1,5,2,2,2,
BGW,Water,,,,,,,3.0,2,2,5,3,5,5,1,4,1,2,
BHA,Conventional Electricity,,,,,,,2.7,1,2,5,1,1,1,1,5,5,5,
BHC,Building Materials & Fixtures,,,,,,,1.2,1,2,1,1,1,1,1,2,1,1,
BHG,Soft Drinks,,,,,,,1.7,1,2,1,1,1,1,1,3,2,4,
BHK,Brewers,,,,,,,1.5,2,2,1,1,1,1,1,3,1,2,
BHN,Brewers,,,,,,,1.7,2,3,1,1,1,1,1,3,2,2,
BHP,Brewers,,,,,,,1.5,1,2,1,1,1,1,1,3,2,2,
BHT,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
BIC,Property & Casualty Insurance,,,,,,,3.3,4,3,5,3,1,5,4,3,1,3,
BID,Banks,3,3,3,2,5,3,3.1,3,2,3,,,,,,,,4
BIG,Real Estate Services,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
BII,Real Estate Holding & Development,,,,,,,2.4,1,2,5,5,1,5,1,1,1,1,
BIO,Pharmaceuticals,,,,,,,2.7,1,2,1,5,5,5,5,1,1,1,
BKC,General Mining,,,,,,,2.8,1,2,2,4,5,3,1,3,3,4,
BKG,Personal Products,,,,,,,1.5,2,2,1,1,1,1,1,2,2,2,
BKH,Food Products,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
BLF,Farming & Fishing,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
BLI,Property & Casualty Insurance,,,,,,,2.8,3,2,5,3,1,1,5,3,2,2,
BLN,Travel & Tourism,,,,,,,1.7,1,2,1,2,4,3,1,1,1,1,
BLT,Food Products,,,,,,,1.6,1,2,1,5,1,1,1,1,1,1,
