lmao,ticker,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType
1406,TV2,HOSE,Tư vấn XD Điện 2,195.0,2791,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1985.0,753.0,986.0,0.148,http://www.pecc2.com,3.1,-0.084,-0.109,-0.208,67.5,45.0,CT
1407,TV3,HNX,Tư vấn XD điện 3,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2007.0,467.0,0.0,0.002,http://www.pecc3.com.vn,,0.096,-0.003,0.198,9.5,8.3,CT
1408,TV4,HNX,Tư vấn XD Điện 4,195.0,2791,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,446.0,485.0,0.0,http://www.pecc4.vn,3.2,-0.06,-0.039,0.157,19.8,17.7,CT
1409,TV6,UPCOM,TM ĐT xây lắp điện Thịnh Vượng,253.0,5379,Bán lẻ,Retail,2008.0,0.0,0.0,0.49,http://www.thinhvuongvn.com,2.1,-0.057,-0.203,-0.442,3.0,3.0,CT
1410,TVA,UPCOM,Sứ Viglacera Thanh Trì,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2008.0,335.0,339.0,0.0,http://www.viglacerathanhtri.vn,,-0.162,0.309,0.153,6.3,6.3,CT
1411,TVB,HOSE,Chứng khoán Trí Việt,300.0,8777,Dịch vụ tài chính,Financial Services,2006.0,55.0,365.0,0.025,http://www.tvsc.vn,3.2,0.039,-0.207,-0.517,112.1,112.1,CK
1412,TVC,HNX,Tập đoàn Trí Việt,299.0,8775,Dịch vụ tài chính,Financial Services,2012.0,33.0,441.0,0.002,http://tcorp.vn,3.0,0.059,-0.228,-0.498,118.6,118.6,CT
1413,TVD,HNX,Than Vàng Danh,160.0,1771,Tài nguyên Cơ bản,Basic Resources,2008.0,5527.0,0.0,0.032,http://www.vangdanhcoal.com.vn,3.0,0.043,-0.229,-0.169,45.0,45.0,CT
1414,TVG,UPCOM,XD Giao thông Vận tải,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1959.0,125.0,136.0,0.0,http://www.tricc-jsc.com.vn,,-0.016,0.078,0.724,2.0,2.0,CT
1415,TVH,UPCOM,Tư vấn XD công trình Hàng hải,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004.0,140.0,223.0,0.0,http://www.cmbvn.com.vn,,-0.016,0.058,0.429,4.0,4.0,CT
1416,TVM,UPCOM,Tư vấn đầu tư Mỏ,195.0,2791,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013.0,344.0,239.0,0.0,http://www.vimcc.vn,,-0.016,0.328,0.548,2.4,2.4,CT
1417,TVN,UPCOM,Thép Việt Nam,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2012.0,144.0,9651.0,0.001,http://www.vnsteel.vn,2.2,0.056,-0.219,-0.419,678.0,678.0,CT
1418,TVP,UPCOM,Dược phẩm TV.Pharm,238.0,4577,Y tế,Health Care,2003.0,713.0,234.0,0.001,http://www.tvpharm.com.vn,3.2,-0.19,-0.345,-0.073,29.5,11.1,CT
1419,TVS,HOSE,Chứng khoán Thiên Việt,300.0,8777,Dịch vụ tài chính,Financial Services,2006.0,67.0,978.0,0.294,http://www.tvs.vn,2.6,-0.06,-0.083,-0.148,107.1,107.1,CK
1420,TVT,HOSE,May Việt Thắng,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2007.0,942.0,738.0,0.04,https://vietthang.com.vn,2.9,-0.003,-0.053,0.128,21.0,21.0,CT
1421,TVW,UPCOM,Cấp thoát nước Trà Vinh,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,198.0,183.0,0.0,http://www.trawaco.com.vn,,-0.016,-0.073,-0.073,14.6,14.6,CT
1422,TW3,UPCOM,Dược TW3,238.0,4577,Y tế,Health Care,2010.0,156.0,143.0,0.0,http://www.duoctw3.com,,-0.016,-0.046,-0.083,1.7,1.8,CT
1423,TXM,HNX,Thạch cao Xi măng,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2005.0,58.0,1116.0,0.008,http://www.thachcaoximang.com.vn,,-0.016,-0.013,-0.169,7.0,7.0,CT
1424,TYA,HOSE,Dây và Cáp điện Taya,186.0,2733,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1992.0,259.0,0.0,0.415,http://www.taya.com.vn,2.7,0.024,-0.092,-0.028,30.7,6.1,CT
1425,UCT,UPCOM,Đô thị Cần Thơ,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,351.0,0.0,0.0,http://www.congtrinhdothicantho.vn,,-0.016,0.078,1.443,5.3,5.3,CT
1426,UDC,HOSE,Xây dựng và Phát triển đô thị Bà Rịa - Vũng Tàu,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1995.0,232.0,1201.0,0.124,http://www.udec.com.vn,2.1,0.039,-0.05,-0.091,34.7,35.0,CT
1427,UDJ,UPCOM,Becamex UDJ,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2007.0,16.0,676.0,0.047,http://www.becamexudj.com.vn,4.0,-0.182,-0.227,-0.245,16.5,16.5,CT
1428,UDL,UPCOM,Đô thị và Môi trường Đắk Lắk,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008.0,675.0,856.0,0.0,http://www.moitruongdothidaklak.com.vn,,-0.016,0.078,0.377,6.6,6.6,CT
1429,UEM,UPCOM,Cơ điện Uông Bí - Vinacomin,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013.0,195.0,171.0,0.0,http://www.codienuongbi.vn,,-0.016,0.078,0.34,2.4,2.4,CT
1430,UIC,HOSE,Phát triển Nhà và Đô thị IDICO,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2000.0,99.0,572.0,0.128,http://www.idico-udico.com.vn/welcome/vn,3.0,-0.043,-0.033,-0.018,8.0,8.0,CT
1431,UMC,UPCOM,Công trình đô thị Nam Định,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2007.0,206.0,205.0,0.0,http://www.congtrinhdothinamdinh.vn,,-0.016,0.078,0.354,1.8,1.8,CT
1432,UNI,HNX,Viễn Liên,308.0,9533,Công nghệ Thông tin,Technology,1993.0,16.0,0.0,0.016,http://www.vienlien.com.vn,1.7,-0.067,-0.102,-0.112,15.6,15.6,CT
1433,UPC,UPCOM,Cây xanh Vũng Tàu,276.0,7575,"Điện, nước & xăng dầu khí đốt",Utilities,2009.0,604.0,0.0,0.0,http://www.upcgreen.com,,-0.059,0.074,0.922,3.4,3.4,CT
1434,UPH,UPCOM,Dược phẩm TW25,238.0,4577,Y tế,Health Care,2007.0,192.0,447.0,0.0,http://www.uphace.com.vn,,-0.016,0.078,0.245,13.3,13.3,CT
1435,USC,UPCOM,Khảo sát và Xây dựng - USCO,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004.0,296.0,313.0,0.0,http://www.usco.vn,,-0.016,0.078,0.804,5.5,5.5,CT
1436,USD,UPCOM,Công trình Đô thị Sóc Trăng,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,403.0,0.0,0.0,http://www.ctdtst.vn,,-0.016,0.055,0.41,5.6,5.6,CT
1437,V11,UPCOM,VINACONEX No11,336.0,8633,Bất động sản,Real Estate,1996.0,10.0,0.0,0.003,http://www.vinaconex11.com.vn,,-0.016,-0.172,-0.282,8.4,8.4,CT
1438,V12,HNX,VINACONEX 12,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1996.0,244.0,520.0,0.0,http://www.vinaconex12.com.vn,,-0.016,0.031,0.143,5.8,5.8,CT
1439,V15,UPCOM,Vinaconex 15,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1978.0,520.0,0.0,0.002,http://www.vinaconex15.com,,-0.016,-0.088,-0.344,10.0,10.0,CT
1440,V21,HNX,Vinaconex 21,336.0,8633,Bất động sản,Real Estate,2005.0,312.0,249.0,0.0,http://www.vinaconex21.vn,,0.01,-0.122,-0.427,12.0,12.0,CT
1441,VAB,UPCOM,Ngân hàng Việt Á,289.0,8355,Ngân hàng,Banks,2003.0,1673.0,1913.0,0.0,http://www.vietabank.com.vn,2.7,-0.142,-0.166,-0.232,540.0,540.0,NH
1442,VAF,HOSE,Phân lân Văn Điển,151.0,1357,Hóa chất,Chemicals,2009.0,362.0,0.0,0.0,https://vandienfmp.vn,3.1,-0.066,-0.21,0.002,37.7,37.7,CT
