ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
BII,Real Estate Holding & Development,,,,,3.4,4,3,4,1,5
BIO,Pharmaceuticals,,,,,3.4,5,5,5,1,1
BKC,General Mining,,,,,3.4,2,3,3,5,4
BKG,Personal Products,,,,,4.8,4,5,5,5,5
BKH,Food Products,,,,,2.6,4,4,3,1,1
BLF,Farming & Fishing,,,,,2.6,2,3,2,1,5
BLI,Property & Casualty Insurance,,,,,3.6,5,3,4,1,5
BLN,Travel & Tourism,,,,,2.4,2,4,4,1,1
BLT,Food Products,,,,,3.2,4,5,5,1,1
BLW,Water,,,,,4.2,5,5,5,1,5
BMC,General Mining,,,,,4.2,5,5,5,1,5
BMD,Waste & Disposal Services,,,,,3.2,5,4,5,1,1
BMF,Gas Distribution,,,,,4.0,3,4,5,5,3
BMG,Clothing & Accessories,,,,,3.2,5,5,4,1,1
BMI,Property & Casualty Insurance,,,,,3.6,5,3,4,1,5
BMJ,General Mining,,,,,5.0,5,5,5,5,5
BMN,Heavy Construction,,,,,3.4,4,3,4,5,1
BMP,Building Materials & Fixtures,,,,,5.0,5,5,5,5,5
BMS,Investment Services,,,,,5.0,5,5,5,5,5
BMV,Food Products,,,,,4.2,5,4,3,4,5
BNA,Food Products,,,,,3.8,3,4,3,5,4
BNW,Water,,,,,4.8,4,5,5,5,5
BOT,Heavy Construction,,,,,1.6,1,2,3,1,1
BPC,Containers & Packaging,,,,,3.4,4,4,5,3,1
BQB,Brewers,,,,,3.6,5,4,3,1,5
BRC,Commodity Chemicals,,,,,4.4,4,4,4,5,5
BRR,Commodity Chemicals,,,,,4.2,5,3,3,5,5
BRS,Waste & Disposal Services,,,,,3.2,5,4,5,1,1
BSA,Conventional Electricity,,,,,4.4,3,4,5,5,5
BSC,Specialty Retailers,,,,,4.2,5,5,5,1,5
BSD,Brewers,,,,,2.0,4,2,2,1,1
BSG,Travel & Tourism,,,,,3.0,4,2,3,1,5
BSH,Brewers,,,,,5.0,5,5,5,5,5
BSI,Investment Services,,,,,5.0,5,5,5,5,5
BSL,Brewers,,,,,4.6,5,4,4,5,5
BSP,Brewers,,,,,4.2,5,3,3,5,5
BSQ,Brewers,,,,,3.8,4,2,3,5,5
BSR,Exploration & Production,,,,,5.0,5,5,5,5,5
BST,Publishing,,,,,5.0,5,5,5,5,5
BT1,Specialty Chemicals,,,,,2.0,3,3,2,1,1
BT6,Building Materials & Fixtures,,,,,3.0,5,2,2,1,5
BTB,Brewers,,,,,2.4,3,1,2,2,4
BTD,Building Materials & Fixtures,,,,,3.6,3,3,3,5,4
BTG,Containers & Packaging,,,,,4.2,5,5,5,1,5
BTH,Electronic Equipment,,,,,3.6,3,2,3,5,5
BTN,Building Materials & Fixtures,,,,,1.6,3,1,2,1,1
BTP,Conventional Electricity,,,,,5.0,5,5,5,5,5
BTS,Building Materials & Fixtures,,,,,3.0,3,2,2,4,4
BTT,Broadline Retailers,,,,,4.2,5,5,5,1,5
BTU,Waste & Disposal Services,,,,,3.4,5,5,5,1,1
BTV,Travel & Tourism,,,,,3.8,4,3,3,5,4
BTW,Water,,,,,4.8,5,4,5,5,5
BVB,Banks,1,2,4,1,1.9,,,,,
BVG,Steel,,,,,2.8,5,3,4,1,1
BVH,Life Insurance,,,,,4.2,5,5,5,1,5
BVL,,,,,,,,,,,
BVN,Personal Products,,,,,2.0,3,2,3,1,1
BVS,Investment Services,,,,,4.8,4,5,5,5,5
BWA,Water,,,,,3.4,5,5,5,1,1
BWE,Water,,,,,3.8,3,3,4,5,4
BWS,Water,,,,,5.0,5,5,5,5,5
BXH,Containers & Packaging,,,,,3.8,4,4,4,3,4
C12,Heavy Construction,,,,,1.8,1,3,3,1,1
C21,Real Estate Holding & Development,,,,,2.8,5,1,2,1,5
C22,Food Products,,,,,2.6,5,3,3,1,1
C32,Building Materials & Fixtures,,,,,3.8,4,4,4,5,2
C36,Heavy Construction,,,,,1.8,1,3,3,1,1
C47,Heavy Construction,,,,,2.2,2,3,3,2,1
C4G,Heavy Construction,,,,,2.6,2,4,4,2,1
C69,Heavy Construction,,,,,3.6,4,5,4,4,1
C71,Heavy Construction,,,,,2.0,1,3,3,2,1
C92,Heavy Construction,,,,,2.2,2,3,3,2,1
CAB,Broadcasting & Entertainment,,,,,3.8,4,2,3,5,5
CAD,Farming & Fishing,,,,,2.8,5,1,2,1,5
CAG,Transportation Services,,,,,4.2,5,5,5,1,5
CAN,Food Products,,,,,2.8,2,3,2,5,2
CAP,Paper,,,,,5.0,5,5,5,5,5
CAR,,,,,,,,,,,
CAT,Farming & Fishing,,,,,2.0,2,3,3,1,1
CAV,Electrical Components & Equipment,,,,,3.4,2,3,2,5,5
CBC,Soft Drinks,,,,,1.6,3,1,2,1,1
CBI,Steel,,,,,2.4,2,2,2,3,3
CBS,Food Products,,,,,1.8,3,2,2,1,1
CC1,Heavy Construction,,,,,2.6,2,4,4,2,1
CC4,Heavy Construction,,,,,5.0,5,5,5,5,5
CCA,Farming & Fishing,,,,,3.2,2,3,3,5,3
CCI,Gas Distribution,,,,,4.2,5,5,5,1,5
CCL,Real Estate Holding & Development,,,,,4.4,3,5,5,5,4
CCM,Building Materials & Fixtures,,,,,4.6,4,5,5,4,5
CCP,Transportation Services,,,,,5.0,5,5,5,5,5
CCR,Transportation Services,,,,,3.6,5,3,4,1,5
CCT,Transportation Services,,,,,4.2,4,5,5,2,5
CCV,Heavy Construction,,,,,2.6,5,3,3,1,1
CDC,Heavy Construction,,,,,2.8,2,3,4,4,1
CDG,Building Materials & Fixtures,,,,,4.8,4,5,5,5,5
CDH,Waste & Disposal Services,,,,,3.2,5,4,5,1,1
CDN,Transportation Services,,,,,4.8,4,5,5,5,5
CDO,Heavy Construction,,,,,4.2,5,5,5,1,5
CDP,Pharmaceuticals,,,,,2.0,1,3,3,2,1
CDR,Heavy Construction,,,,,3.0,4,4,5,1,1
CE1,Industrial Machinery,,,,,2.4,4,4,2,1,1
