ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
BSG,,,,,,3.2,4,3,4,2,3
BSH,,,,,,3.4,4,3,3,3,3
BSI,,1,2,3,2,4.1,4,5,5,4,4
BSL,,,,,,3.4,4,3,3,3,3
BSP,,,,,,3.4,4,3,3,3,3
BSQ,,,,,,3.4,4,3,3,3,3
BSR,,,,,,3.8,4,4,4,3,3
BST,,,,,,3.7,5,4,4,3,3
BT1,,,,,,3.7,4,4,4,3,4
BT6,,,,,,3.0,4,3,3,2,3
BTB,,,,,,3.4,4,3,3,3,3
BTD,,,,,,3.0,4,3,3,2,3
BTG,,,,,,3.5,4,4,4,3,3
BTH,,,,,,3.5,4,4,4,3,3
BTN,,,,,,3.0,4,3,3,2,3
BTP,,,,,,3.8,4,4,4,4,4
BTS,,,,,,3.0,4,3,3,2,3
BTT,,,,,,3.4,4,4,4,3,3
BTU,,,,,,3.5,4,4,4,3,3
BTV,,,,,,3.2,4,3,4,2,3
BTW,,,,,,3.8,4,4,4,4,4
BVB,,2,3,4,3,3.0,,,,,
BVG,,,,,,3.2,3,3,3,3,3
BVH,,,,,,3.6,5,3,4,1,5
BVL,,,,,,,,,,,
BVN,,,,,,3.4,4,4,4,3,3
BVS,,1,2,3,2,4.1,4,5,5,4,4
BWA,,,,,,3.8,4,4,4,4,4
BWE,,,,,,3.8,4,4,4,4,4
BWS,,,,,,3.8,4,4,4,4,4
BXH,,,,,,3.5,4,4,4,3,3
C12,,,,,,3.0,4,3,3,2,3
C21,,,,,,3.6,4,4,4,3,4
C22,,,,,,3.4,4,3,3,3,3
C32,,,,,,3.0,4,3,3,2,3
C36,,,,,,3.0,4,3,3,2,3
C47,,,,,,3.0,4,3,3,2,3
C4G,,,,,,3.0,4,3,3,2,3
C69,,,,,,3.0,4,3,3,2,3
C71,,,,,,3.0,4,3,3,2,3
C92,,,,,,3.0,4,3,3,2,3
CAB,,,,,,3.7,5,4,4,3,3
CAD,,,,,,3.4,4,3,3,3,3
CAG,,,,,,3.5,4,4,4,3,3
CAN,,,,,,3.4,4,3,3,3,3
CAP,,,,,,3.2,3,3,3,3,3
CAR,,,,,,3.5,4,4,4,3,3
CAT,,,,,,3.4,4,3,3,3,3
CAV,,,,,,3.5,4,4,4,3,3
CBC,,,,,,3.4,4,3,3,3,3
CBI,,,,,,3.2,3,3,3,3,3
CBS,,,,,,3.4,4,3,3,3,3
CC1,,,,,,3.0,4,3,3,2,3
CC4,,,,,,3.0,4,3,3,2,3
CCA,,,,,,3.4,4,3,3,3,3
CCI,,,,,,3.8,4,4,4,4,4
CCL,,,,,,3.6,4,4,4,3,4
CCM,,,,,,3.0,4,3,3,2,3
CCP,,,,,,3.5,4,4,4,3,3
CCR,,,,,,3.5,4,4,4,3,3
CCT,,,,,,3.5,4,4,4,3,3
CCV,,,,,,3.0,4,3,3,2,3
CDC,,,,,,3.0,4,3,3,2,3
CDG,,,,,,3.0,4,3,3,2,3
CDH,,,,,,3.5,4,4,4,3,3
CDN,,,,,,3.5,4,4,4,3,3
CDO,,,,,,3.0,4,3,3,2,3
CDP,,,,,,3.6,4,4,4,3,3
CDR,,,,,,3.0,4,3,3,2,3
CE1,,,,,,3.5,4,4,4,3,3
CEG,,,,,,3.0,4,3,3,2,3
CEN,,,,,,3.4,4,4,4,3,3
CEO,,,,,,3.6,4,4,4,3,4
CET,,,,,,3.4,4,4,4,3,3
CFM,,,,,,3.5,4,4,4,3,3
CFV,,,,,,3.4,4,3,3,3,3
CGV,,,,,,3.0,4,3,3,2,3
CH5,,,,,,3.0,4,3,3,2,3
CHC,,,,,,3.0,4,3,3,2,3
CHP,,,,,,3.8,4,4,4,4,4
CHS,,,,,,3.8,4,4,4,4,4
CI5,,,,,,3.0,4,3,3,2,3
CIA,,,,,,3.5,4,4,4,3,3
CID,,,,,,3.0,4,3,3,2,3
CIG,,,,,,3.0,4,3,3,2,3
CII,,,,,,3.0,4,3,3,2,3
CIP,,,,,,3.0,4,3,3,2,3
CJC,,,,,,3.5,4,4,4,3,3
CKA,,,,,,3.5,4,4,4,3,3
CKD,,,,,,3.5,4,4,4,3,3
CKG,,,,,,3.6,4,4,4,3,4
CKV,,,,,,3.5,4,4,4,3,3
CLC,,,,,,3.4,4,4,4,3,3
CLG,,,,,,3.6,4,4,4,3,4
CLH,,,,,,3.0,4,3,3,2,3
CLL,,,,,,3.5,4,4,4,3,3
CLM,,,,,,3.2,3,3,3,3,3
CLW,,,,,,3.8,4,4,4,4,4
CLX,,,,,,3.4,4,3,3,3,3
CMC,,,,,,3.1,3,3,3,3,3
CMD,,,,,,3.0,4,3,3,2,3
CMF,,,,,,3.4,4,3,3,3,3
CMG,,,,,,3.5,4,4,4,3,3
CMI,,,,,,3.0,4,3,3,2,3
CMK,,,,,,3.5,4,4,4,3,3
CMM,,,,,,3.4,4,3,3,3,3
CMN,,,,,,3.4,4,3,3,3,3
CMP,,,,,,3.5,4,4,4,3,3
CMS,,,,,,3.0,4,3,3,2,3
CMT,,,,,,3.5,4,4,4,3,3
CMV,,,,,,3.4,4,4,4,3,3
CMW,,,,,,3.8,4,4,4,4,4
CMX,,,,,,3.4,4,3,3,3,3
CNA,,,,,,3.4,4,3,3,3,3
CNC,,,,,,3.6,4,4,4,3,3
CNG,,,,,,3.8,4,4,4,4,4
CNN,,,,,,3.0,4,3,3,2,3
CNT,,,,,,3.0,4,3,3,2,3
COM,,,,,,3.4,4,4,4,3,3
CPA,,,,,,3.4,4,3,3,3,3
CPC,,,,,,3.7,4,4,4,3,4
CPH,,,,,,3.4,4,4,4,3,3
CPI,,,,,,3.5,4,4,4,3,3
CQN,,,,,,3.4,4,3,3,3,3
CQT,,,,,,3.0,4,3,3,2,3
CRC,,,,,,3.0,4,3,3,2,3
CRE,,,,,,3.6,4,4,4,3,4
CSC,,,,,,3.0,4,3,3,2,3
CSI,,1,2,3,2,4.1,4,5,5,4,4
CSM,,,,,,3.1,3,3,3,3,3
CST,,,,,,3.2,3,3,3,3,3
CSV,,,,,,3.7,4,4,4,3,4
CT3,,,,,,3.0,4,3,3,2,3
CT6,,,,,,3.0,4,3,3,2,3
CTA,,,,,,3.0,4,3,3,2,3
CTB,,,,,,3.5,4,4,4,3,3
CTC,,,,,,3.2,4,3,4,2,3
CTD,,,,,,3.0,4,3,3,2,3
CTF,,,,,,3.1,3,3,3,3,3
CTG,,2,3,4,3,3.0,,,,,
CTI,,,,,,3.0,4,3,3,2,3
CTN,,,,,,3.0,4,3,3,2,3
CTP,,,,,,3.4,4,3,3,3,3
CTR,,,,,,3.0,4,3,3,2,3
CTS,,1,2,3,2,4.1,4,5,5,4,4
CTT,,,,,,3.5,4,4,4,3,3
CTW,,,,,,3.8,4,4,4,4,4
CTX,,,,,,3.0,4,3,3,2,3
CVN,,,,,,3.6,4,4,4,3,3
CVP,,,,,,3.5,4,4,4,3,3
CVT,,,,,,3.0,4,3,3,2,3
CX8,,,,,,3.0,4,3,3,2,3
CYC,,,,,,3.0,4,3,3,2,3
D11,,,,,,3.6,4,4,4,3,4
D2D,,,,,,3.6,4,4,4,3,4
DAC,,,,,,3.0,4,3,3,2,3
DAD,,,,,,3.7,5,4,4,3,3
DAE,,,,,,3.7,5,4,4,3,3
DAG,,,,,,3.7,4,4,4,3,4
DAH,,,,,,3.2,4,3,4,2,3
DAN,,,,,,3.6,4,4,4,3,3
DAP,,,,,,3.5,4,4,4,3,3
DAS,,,,,,3.5,4,4,4,3,3
DAT,,,,,,3.4,4,3,3,3,3
DBC,,,,,,3.4,4,3,3,3,3
DBD,,,,,,3.6,4,4,4,3,3
DBM,,,,,,3.6,4,4,4,3,3
DBT,,,,,,3.6,4,4,4,3,3
DBW,,,,,,3.8,4,4,4,4,4
DC1,,,,,,3.0,4,3,3,2,3
DC2,,,,,,3.0,4,3,3,2,3
DC4,,,,,,3.0,4,3,3,2,3
DCF,,,,,,3.0,4,3,3,2,3
DCG,,,,,,3.4,4,4,4,3,3
DCH,,,,,,3.6,4,4,4,3,4
DCL,,,,,,3.6,4,4,4,3,3
DCM,,,,,,3.7,4,4,4,3,4
DCR,,,,,,3.0,4,3,3,2,3
DCS,,,,,,3.4,4,4,4,3,3
DCT,,,,,,3.0,4,3,3,2,3
DDG,,,,,,3.8,4,4,4,4,4
DDH,,,,,,3.5,4,4,4,3,3
DDM,,,,,,3.5,4,4,4,3,3
DDN,,,,,,3.6,4,4,4,3,3
DDV,,,,,,3.7,4,4,4,3,4
DFC,,,,,,3.2,3,3,3,3,3
DFF,,,,,,3.0,4,3,3,2,3
DGC,,,,,,3.7,4,4,4,3,4
DGT,,,,,,3.0,4,3,3,2,3
DGW,,,,,,3.4,4,4,4,3,3
DHA,,,,,,3.0,4,3,3,2,3
DHB,,,,,,3.7,4,4,4,3,4
DHC,,,,,,3.2,3,3,3,3,3
DHD,,,,,,3.6,4,4,4,3,3
DHG,,,,,,3.6,4,4,4,3,3
DHM,,,,,,3.2,3,3,3,3,3
DHN,,,,,,3.6,4,4,4,3,3
DHP,,,,,,3.5,4,4,4,3,3
DHT,,,,,,3.4,4,4,4,3,3
DIC,,,,,,3.0,4,3,3,2,3
DID,,,,,,3.0,4,3,3,2,3
DIG,,,,,,3.6,4,4,4,3,4
DIH,,,,,,3.0,4,3,3,2,3
DKC,,,,,,3.4,4,4,4,3,3
DL1,,,,,,3.5,4,4,4,3,3
