,result
721,0
722,24
723,6
724,-8
725,-45
726,-54
727,6
728,-2
729,0
730,0
731,0
732,-31
733,0
734,26
735,0
736,20
737,7
738,0
739,9
740,117
741,1
742,0
743,55
744,0
745,-7
746,0
747,0
748,21
749,-487
750,30
751,16
752,-1
753,-28
754,0
755,38
756,-1049
757,-5
758,3
759,0
760,992
761,0
762,-79
763,60
764,0
765,3
766,-3
767,0
768,121
769,-1
770,4
771,0
772,14
773,-418
774,-2
775,-142
776,238
777,-92
778,-61
779,4
780,26
781,-2895
782,0
783,-264
784,0
785,-873
786,-1279
787,-1542
788,23
789,-4
790,293
791,413
792,130
793,0
794,-3
795,123
796,0
797,276
798,0
799,5
800,3
801,-13
802,290
803,0
804,-2
805,8
806,-6
807,-8
808,89
809,-2
810,-70
811,-5
812,0
813,-1
814,-1
815,71
816,142
817,-477
818,-1
819,45
820,-125
821,-1
822,0
823,5
824,0
825,-120
826,-67
827,2
828,-1
829,29
830,0
831,-14
832,50
833,59
834,-4
835,0
836,0
837,0
838,0
839,4
840,-76
841,0
842,-19
843,72
844,1
845,-62
846,907
847,-139
848,0
849,0
850,0
851,0
852,87
853,0
854,-29
855,0
856,-2
857,-1
858,0
859,25
860,158
861,0
862,3
863,254
864,0
865,-355
866,1
867,-5
868,-53
869,0
870,39
871,-428
872,-1
873,-1
874,103
875,245
876,455
877,1140
878,8
879,7
880,-1
881,-1
882,-5
883,1636
884,-27
885,0
886,0
887,0
888,0
889,-1
890,34
891,-2
892,-30
893,28
894,-76
895,53
896,0
897,11
898,-6
899,5
900,0
901,-290
902,48
903,0
904,-7
905,0
906,0
907,408
908,0
909,-3
910,-22
911,-1
912,-78
913,0
914,-19
915,63
916,-9
917,0
918,-57
919,-1
920,0
921,8
922,0
923,2
924,0
925,-15
926,34
927,-2
928,81
929,0
930,0
931,-1
932,0
933,-23
934,-25
935,0
936,5
937,20
938,23
939,0
940,-1
941,10
942,0
943,0
944,18
945,3
946,1
947,-139
948,0
949,26
950,10
951,-2
952,0
953,-63
954,0
955,0
956,-54
957,-3
958,0
959,0
960,0
961,39
962,46
963,-395
964,0
965,-1
966,-1
967,0
968,41
969,0
970,9
971,65
972,-357
973,0
974,-1
975,45
976,0
977,658
978,0
979,78
980,-4356
981,-4
982,25
983,0
984,13
985,0
986,-147
987,68
988,0
989,-556
990,-39
991,-1
992,78
993,-1
994,235
995,5
996,3
997,-69
998,45
999,3
1000,0
1001,0
1002,0
1003,-1
1004,10
1005,209
1006,106
1007,-188
1008,0
1009,-197
1010,0
1011,1
1012,-2
1013,-11
1014,38
1015,598
1016,0
1017,-1
1018,0
1019,0
1020,0
1021,8
1022,-2
1023,-34
1024,722
1025,-9
1026,0
1027,0
1028,32
1029,6
1030,-170
1031,-43
1032,13
1033,-3
1034,155
1035,0
1036,15
1037,-50
1038,-415
1039,56
1040,0
1041,0
1042,-15
1043,824
1044,-24
1045,4
1046,-17
1047,-208
1048,-9
1049,53
1050,0
1051,0
1052,0
1053,1
1054,-91
1055,0
1056,-10
1057,300
1058,476
1059,0
1060,-27
1061,-1
1062,-2
1063,10
1064,-3
1065,-159
1066,0
1067,0
1068,175
1069,-99
1070,0
1071,0
1072,124
1073,34
1074,-46
1075,-13
1076,-41
1077,26
1078,0
1079,28
1080,155
1081,-232
1082,-15
1083,-1
1084,-12
1085,0
1086,-54
1087,-1
1088,0
1089,34
1090,14
1091,-21
1092,0
1093,30
1094,-7
1095,-6
1096,-4
1097,0
1098,-14
1099,43
1100,-3
1101,10
1102,2
1103,0
1104,-16
1105,0
1106,-5
1107,6
1108,0
1109,-1
1110,4
1111,0
1112,-1
1113,-4
1114,-9
1115,524
1116,-35
1117,-4
1118,-165
1119,20
1120,-1
1121,304
1122,34
1123,-6
1124,-1
1125,-3
1126,0
1127,47
1128,-34
1129,0
1130,0
1131,-12
1132,-151
1133,-43
1134,-1699
1135,-6
1136,-14
1137,-12
1138,73
1139,15
1140,-1
1141,-8
1142,0
1143,-22
1144,9
1145,0
1146,-2
1147,-1
1148,-601
1149,-39
1150,6
1151,-55
1152,-688
1153,0
1154,12
1155,0
1156,-18
1157,-44
1158,0
1159,-187
1160,0
1161,31
1162,-15442
1163,-2
